direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,48,6,0.05,0.55,0.65,1.2,1.2,0.5,align,1.2,12,53,54.71698113207547,6.8557829947775275,0.12935439612787789,1.3145253705165845,4.377790151464671,4,-2.1826979556867325,-3.2402970829626465,45,3.510623187802991,8,3.345159806974536,11.068999280313506
long,48,6,0.05,0.55,0.65,1.2,1.2,0.65,align,1.2,12,53,54.71698113207547,6.8557829947775275,0.12935439612787789,1.3145253705165845,4.377790151464671,4,-2.1826979556867325,-3.2402970829626465,45,3.510623187802991,8,3.345159806974536,11.068999280313506
long,24,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.5,24,72,48.61111111111111,11.217220198900808,0.15579472498473346,1.2967046672357836,6.647865120705883,5,-3.763640982350018,-4.3896835410392665,60,7.385857372626633,12,3.8313628262741752,10.99820298784756
long,24,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.5,24,72,48.61111111111111,11.217220198900808,0.15579472498473346,1.2967046672357836,6.647865120705883,5,-3.763640982350018,-4.3896835410392665,60,7.385857372626633,12,3.8313628262741752,10.99820298784756
long,48,12,0.05,0.55,0.75,1.2,1.2,0.65,align,1.0,24,38,60.526315789473685,5.625912474934579,0.14805032828775208,1.3609482142509859,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,34,2.3936378973303127,4,3.2322745776042665,10.3582043766725
long,48,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.0,24,38,60.526315789473685,5.625912474934579,0.14805032828775208,1.3609482142509859,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,34,2.3936378973303127,4,3.2322745776042665,10.3582043766725
long,48,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.0,24,38,60.526315789473685,5.625912474934579,0.14805032828775208,1.3609482142509859,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,34,2.3936378973303127,4,3.2322745776042665,10.3582043766725
long,48,12,0.05,0.55,0.75,1.2,1.2,0.5,align,1.0,24,38,60.526315789473685,5.625912474934579,0.14805032828775208,1.3609482142509859,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,34,2.3936378973303127,4,3.2322745776042665,10.3582043766725
long,24,6,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,24,64,56.25,11.292706349916173,0.1764485367174402,1.3867474338158228,6.194805065722552,5,-4.0266546228787075,-6.1182625494677705,53,8.218701941010528,11,3.0740044089056475,10.193664051178065
long,24,6,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,24,64,56.25,11.292706349916173,0.1764485367174402,1.3867474338158228,6.194805065722552,5,-4.0266546228787075,-6.1182625494677705,53,8.218701941010528,11,3.0740044089056475,10.193664051178065
both,48,6,0.05,0.55,0.65,1.2,1.2,0.65,align,1.2,24,77,55.84415584415584,12.668315503259382,0.16452357796440756,1.3762680794375919,8.674861074230076,6,-3.0934417897100026,-4.485190637437539,68,7.476239198859053,9,5.192076304400329,9.87958881328929
both,48,6,0.05,0.55,0.65,1.2,1.2,0.5,align,1.2,24,77,55.84415584415584,12.668315503259382,0.16452357796440756,1.3762680794375919,8.674861074230076,6,-3.0934417897100026,-4.485190637437539,68,7.476239198859053,9,5.192076304400329,9.87958881328929
long,48,6,0.05,0.55,0.65,1.2,1.2,0.5,align,1.5,12,53,50.943396226415096,5.900860795753633,0.11133699614629497,1.2573707375984486,5.040252583991127,4,-1.582697955686872,-2.6402970829627863,45,3.527452484245028,8,2.373408311508606,9.563713644953202
