timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2021,3,66.66666666666666,2.1245275984382386,0.7081758661460795,12.243854753425289,0.0,1,54.333333333333336
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2016,1,100.0,1.9956951667820613,1.9956951667820613,inf,0.0,0,8.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2016,1,100.0,1.9956951667820613,1.9956951667820613,inf,0.0,0,8.0
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2016,1,100.0,1.9956951667820613,1.9956951667820613,inf,0.0,0,8.0
D1,VCTX_618_800_STAG_ONLY_RR2,2016,1,100.0,1.9956951667820613,1.9956951667820613,inf,0.0,0,8.0
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2016,1,100.0,1.9956951667820613,1.9956951667820613,inf,0.0,0,8.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2021,1,100.0,1.9944473258927526,1.9944473258927526,inf,0.0,0,43.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2021,1,100.0,1.9944473258927526,1.9944473258927526,inf,0.0,0,43.0
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2018,24,41.66666666666667,1.9694587708766487,0.08206078211986036,1.1841256561476698,3.1009296244552367,3,127.04166666666667
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2017,7,71.42857142857143,1.9175097583409833,0.2739299654772833,2.513821650978871,1.0070274989080974,1,50.142857142857146
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2017,7,71.42857142857143,1.9175097583409833,0.2739299654772833,2.513821650978871,1.0070274989080974,1,50.142857142857146
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2024,6,66.66666666666666,1.8953652532440324,0.3158942088740054,2.281375681280287,1.479164370709984,2,50.0
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2024,6,66.66666666666666,1.8953652532440324,0.3158942088740054,2.281375681280287,1.479164370709984,2,50.0
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2024,6,66.66666666666666,1.8953652532440324,0.3158942088740054,2.281375681280287,1.479164370709984,2,50.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2023,2,100.0,1.6588123961830576,0.8294061980915288,inf,0.0,0,60.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2023,2,100.0,1.6588123961830576,0.8294061980915288,inf,0.0,0,60.0
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2024,4,75.0,1.5149084129862478,0.37872710324656195,4.178573302263604,0.476600118646757,1,48.25
D1,VCTX_618_800_STAG_ONLY_RR2,2015,3,66.66666666666666,1.3302474000158853,0.44341580000529507,2.3270292082424278,1.0024251099775867,1,32.666666666666664
H4,VCTX_618_800_STAG_ONLY_RR2,2019,16,37.5,1.282787276772044,0.08017420479825275,1.1269427488506163,5.091816525595336,5,73.3125
D1,VCTX_618_800_STAG_ONLY_RR2,2022,4,75.0,1.1905597758991466,0.29763994397478666,3.5567514054671134,0.46565331825118683,1,60.0
D1,VCTX_618_800_REBREAK_ONLY_RR2,2022,4,50.0,1.182743248469537,0.29568581211738426,1.8561113760712409,1.381529648510494,2,43.25
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2021,25,40.0,1.136020859883685,0.0454408343953474,1.0744858405786166,8.734499432443188,5,80.0
H4,VCTX_618_800_STAG_ONLY_RR2,2021,10,40.0,1.0512564964732838,0.10512564964732837,1.1910778986426014,5.501716859675068,6,89.3
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2017,5,60.0,0.8802715809693163,0.17605431619386328,1.6949504023206043,0.25964070939839523,1,46.2
D1,VCTX_618_800_REBREAK_ONLY_RR2,2024,4,50.0,0.8259231876485271,0.20648079691213178,1.8609652538558228,0.9592990936041144,2,48.25
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2021,26,38.46153846153847,0.8136593550175231,0.031294590577597044,1.0522801788125724,9.046437235671254,6,86.34615384615384
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2021,10,40.0,0.7062976707472404,0.07062976707472404,1.1318193290655092,5.2368799669100135,5,96.2
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2015,4,50.0,0.32381907666018095,0.08095476916504524,1.1611959694455496,1.6639502074304584,1,33.5
