context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D20Q_20D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0070053995409207,-1.0035026997704604,0.0,1.002247172759956,2,82.0
D20Q_20D,RS120_RECLAIM_RR15,OOS_2025_2026,2,0.0,-2.0070053995409207,-1.0035026997704604,0.0,1.002247172759956,2,82.0
D20_D55_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,28,42.857142857142854,-2.044659503265303,-0.07302355368804654,0.8688851593982692,6.564311751213772,5,102.17857142857143
D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,28,42.857142857142854,-2.044659503265303,-0.07302355368804654,0.8688851593982692,6.564311751213772,5,102.17857142857143
D20_D55_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,19,42.10526315789473,-2.948961530514131,-0.15520850160600688,0.7209117089777446,5.400599916128161,5,107.3157894736842
D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,19,42.10526315789473,-2.948961530514131,-0.15520850160600688,0.7209117089777446,5.400599916128161,5,107.3157894736842
D20Q_15D,RS120_RECLAIM_RR15,Research_2015_2024,32,40.625,-3.6666646332749195,-0.11458326978984124,0.8039882529134829,6.075366130012661,4,87.40625
D20Q_20D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,4,0.0,-4.010591403573918,-1.0026478508934795,0.0,3.0058331767929536,4,69.5
RSIQ_15D,RS120_RECLAIM_RR15,Research_2015_2024,17,35.294117647058826,-4.043493437669935,-0.23785255515705497,0.6355114830674347,6.101684618481261,5,95.94117647058823
RSIQ_10D,RS120_RECLAIM_RR15,Research_2015_2024,13,30.76923076923077,-4.994411900119263,-0.38418553077840484,0.450215277084959,5.573562934458071,4,90.6923076923077
D20Q_20D,RS120_RECLAIM_RR15,Research_2015_2024,39,38.46153846153847,-5.817830688274441,-0.14917514585319078,0.7552132632743149,6.317573690754879,4,82.74358974358974
D20Q_10D,RS120_RECLAIM_RR15,Research_2015_2024,24,33.33333333333333,-6.581369643079183,-0.2742237351282993,0.5804744873266278,5.982243265436237,4,85.08333333333333
D20_D55_OR_RSI_15D,RS120_RECLAIM_RR15,Research_2015_2024,36,36.11111111111111,-7.692028586005328,-0.21366746072237022,0.6616168888745971,10.100730082743068,7,89.91666666666667
D20_OR_RSI_15D,RS120_RECLAIM_RR15,Research_2015_2024,36,36.11111111111111,-7.692028586005328,-0.21366746072237022,0.6616168888745971,10.100730082743068,7,89.91666666666667
D20_D55_OR_RSI_10D,RS120_RECLAIM_RR15,Research_2015_2024,27,33.33333333333333,-8.596330613254157,-0.3183826153057095,0.514433358383979,9.001887976487126,5,89.44444444444444
D20_OR_RSI_10D,RS120_RECLAIM_RR15,Research_2015_2024,27,33.33333333333333,-8.596330613254157,-0.3183826153057095,0.514433358383979,9.001887976487126,5,89.44444444444444
