filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
tf=H4 + sym=XAU + preATR>=3,24,29.166666666666668,1.5737809511425742,0.27378627382330284,6.570870571759269,5,40.0,3.164721635890989,0.5764331692567702,2.882165846283851,5.424000394222647
tf=H4 + sym=XAU/EUR/USD + sym=XAU + preATR>=3,24,29.166666666666668,1.5737809511425742,0.27378627382330284,6.570870571759269,5,40.0,3.164721635890989,0.5764331692567702,2.882165846283851,5.424000394222647
long + w3<=1.2 + w2<=0.618 + w4<=0.5,33,36.36363636363637,1.8284598282199707,0.39211064366851106,12.939651241060865,5,60.0,3.0,0.8,4.0,6.020570471888481
sym=XAU/EUR/USD + w3<=1.2 + w2<=0.618 + w4<=0.5,38,31.57894736842105,1.6787139679505139,0.32149609008182234,12.216851423109249,5,60.0,3.0,0.8,4.0,5.800210058032336
long + sym=XAU/EUR/USD + w2<=0.618,88,32.95454545454545,1.7253548803496785,0.33032845212388917,29.068903786902247,14,42.857142857142854,2.8703394658421244,0.6679783806579016,9.351697329210623,5.594001178973594
long + sym=XAU + w2<=0.618,21,28.57142857142857,1.2042407966184452,0.11022820612694721,2.3147923286658916,9,44.44444444444444,2.800008907291712,0.6000029690972373,5.400026721875135,4.714480879134341
long + sym=XAU/EUR/USD + sym=XAU + w2<=0.618,21,28.57142857142857,1.2042407966184452,0.11022820612694721,2.3147923286658916,9,44.44444444444444,2.800008907291712,0.6000029690972373,5.400026721875135,4.714480879134341
tf=H4 + long + w2<=0.618 + w4<=0.5,22,27.27272727272727,1.266286058522348,0.15273834463705152,3.3602435820151335,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.808587158558613
tf=H4 + w2<=0.618 + w4<=0.5 + preATR<=5,35,25.71428571428571,1.234849575802329,0.1316427434508761,4.607496020780664,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.7560550746524175
tf=H4 + long + w2<=0.618,29,24.137931034482758,1.143567983089735,0.08392572122939557,2.4338459156524714,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.617056459718343
tf=H4 + w2<=0.618 + w4<=0.5,37,24.324324324324326,1.1206117380945397,0.07047286542650444,2.607496020780664,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.580647358920257
tf=H4 + long + w2<=0.618 + preATR<=5,26,23.076923076923077,1.1131633112992123,0.06798035303290971,1.7674891788556524,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.5707064197313345
tf=H4 + long + w2<=0.618 + preATR>=3,25,24.0,1.0998818698086548,0.05973961577664223,1.4934903944160558,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.54918424098451
tf=H4 + w2<=0.618 + w4<=0.5 + preATR>=3,31,22.58064516129032,1.035831312979455,0.021520661275620905,0.667140499544248,8,50.0,2.7378638221085185,0.6516989332906944,5.213591466325555,4.446914729654289
long + w3<=1.2 + w4<=0.5 + preATR<=5,42,40.476190476190474,1.9653766470434333,0.45094407716811585,18.939651241060865,7,57.14285714285714,2.6666666666666665,0.7142857142857143,5.0,5.797273105163931
long + w3<=1.2 + w4<=0.5,47,38.297872340425535,1.7172067243099916,0.36041811151193337,16.93965124106087,7,57.14285714285714,2.6666666666666665,0.7142857142857143,5.0,5.458577216774306
long + w3<=1.2 + w3<=1.3 + w4<=0.5,47,38.297872340425535,1.7172067243099916,0.36041811151193337,16.93965124106087,7,57.14285714285714,2.6666666666666665,0.7142857142857143,5.0,5.458577216774306
long + sym=XAU/EUR/USD + w2<=0.618 + preATR>=3,76,31.57894736842105,1.7881653892594827,0.34301189193292425,26.068903786902244,11,36.36363636363637,2.5879243323026557,0.5774270299282385,6.351697329210623,5.296528643423302
tf=H4 + sym=XAU/EUR/USD + w4<=0.5 + preATR>=3,41,26.82926829268293,1.1534107675650036,0.08980142491609973,3.681858421560089,9,44.44444444444444,2.465488473437007,0.5424628718093168,4.8821658462838515,4.251163537727427
tf=H1 + w4<=0.5 + early<=0.05 + preATR<=5,111,28.82882882882883,1.0648289414115089,0.03873784834512027,4.29990116630835,6,16.666666666666664,2.4293049574634606,0.47643498582115346,2.858609914926921,4.009306733041243
tf=H4 + long + sym=XAU/EUR/USD + preATR>=3,31,38.70967741935484,1.7891772693467174,0.3903536361158509,12.100962719591378,10,40.0,2.3121907724554336,0.5248763089821734,5.248763089821734,5.016597986900175
tf=H4 + sym=XAU/EUR/USD + preATR>=3,58,27.586206896551722,1.1969655104523302,0.1123076290943929,6.513842487474788,11,36.36363636363637,2.135269978324754,0.4470306790709119,4.917337469780031,3.891573796942389
tf=H4 + sym=XAU/EUR/USD + preATR>=3 + preATR<=5,50,28.000000000000004,1.1371668346191293,0.08125516438091406,4.062758219045703,11,36.36363636363637,2.135269978324754,0.4470306790709119,4.917337469780031,3.8007226563957093
tf=H4 + w3<=1.3 + w2<=0.618 + w4<=0.5,21,19.047619047619047,1.0720882865544834,0.03988515883625881,0.837588335561435,5,40.0,2.1067957331627776,0.44271829326511103,2.213591466325555,3.6614874718186305
long + sym=XAU/EUR/USD + w3<=1.3 + w2<=0.618,36,38.88888888888889,1.9255696976131318,0.42325665369862286,15.237239533150424,7,42.857142857142854,2.0711971554418516,0.459084495189365,3.213591466325555,4.879108001942971
